"name","state","year_group"
"AHLBERG","GA",""
"AHOLT","MO","1900"
"AI","TN","1900"
"AI","AL","1900"
"AI","GA",""
"AID","MO",""
"AID","GA","1900"
"AIDEN LAIR","NY",""
"AIDEN LAIR","NY",""
"AIKEN","AL","1900"
"AIKEN","FL",""
"AIKEN","GA",""
"AIKEN","MS","1900"
"AIKEN","PA","1900"
NA,NA,""
"AIKENTON","GA","1900"
"AILES","PA",""
NA,NA,""
"AILOR","TN","1900"
"AILSTON","PA","1900"
"AIMAR","GA","1900"
NA,NA,""
"AIMWELL","AL","1900"
"AIN","AR","1900"
"AINEY","PA","1900"
"AINSLIE","GA",""
"AINSWORTH","MS",""
"AINSWORTH","PA",""
"AIR","MO",""
"AIR","AL",""
"AIR LINE","GA","1900"
"AIR MOUNT","AL","1850"
"AIREY","MS","1900"
"AIRLINE","SC",""
"AIRMOUNT","MS","1900"
NA,NA,""
"AIRY","SC","1900"
"AIRY DALE","PA","1900"
"AISLE","MO",""
"AITCH","PA","1900"
"AIX","MO",""
"AIX","SC","1900"
"AJAX","LA","1900"
"AJAX","TN","1900"
"AJAX","AL",""
"AJAX","PA",""
"AKARD","MO","1900"
"AKELEY","PA","1950"
NA,NA,""
"AKERS","MO","1900"
"AKERSVILLE","PA","1900"
"AKERVILLE","AR",""
"AKIN","GA","1900"
"AKIN","NY","1900"
"AKIN FARM","AR","1900"
"AKINS STORE","AR","1850"
"AKINSVILLE","MO","1900"
"AKINTON","TN",""
"AKRIDGE","GA","1900"
"AKRON","MO","1900"
NA,NA,""
"AKRON","AR",""
NA,NA,""
NA,NA,""
"AKRON JUNCTION","AL",""
"ALABAM","AR","1900"
"ALABAMA","LA",""
"ALABAMA","AL",""
NA,NA,""
"ALABAMA BAYOU","LA",""
"ALABAMA CITY","AL","1900"
"ALABAMA FURNACE","AL",""
"ALABAMA PORT","AL",""
NA,NA,""
NA,NA,""
"ALACULSY","GA","1900"
NA,NA,""
"ALAFIA","FL","1900"
"ALAFLORA","AL",""
"ALAGA","AL","1900"
"ALAGAN","FL",""
"ALAHA","LA",""
"ALAMANA","FL",""
"ALAMANDA","PA",""
"ALAMEDA","AL","1900"
"ALAMEDA","PA",""
NA,NA,""
"ALAMO","AR","1900"
"ALAMO","FL","1900"
NA,NA,""
"ALAMODE","MO","1850"
"ALAMUCHA","MS","1900"
"ALAMUCHEE","AL","1900"
"ALAMUTCHA","MS","1850"
"ALANDAR","MA","1900"
"ALANTHUS","TN","1900"
"ALANTHUS","AL","1900"
"ALANTHUS GROVE","MO","1900"
"ALANTHUS HILL","TN","1900"
NA,NA,""
"ALAPATTAH","FL","1900"
"ALAQUA","FL","1850"
NA,NA,""
NA,NA,""
"ALBA","SC",""
"ALBA ARENA","SC",""
"ALBANDA","AL","1950"
"ALBANY","LA","1850"
NA,NA,""
NA,NA,""
"ALBANY","TN","1900"
"ALBANY","TN","1850"
"ALBANY","AL",""
"ALBANY","AL",""
"ALBANY","AR",""
"ALBANY","AR",""
NA,NA,""
"ALBANY","ME","1850"
"ALBANY","NH","1850"
NA,NA,""
"ALBANY","PA","1850"
"ALBANY","VT","1850"
NA,NA,""
"ALBANY CENTRE","VT","1900"
"ALBEMARLE","LA","1850"
"ALBEMARLE","MS",""
"ALBERT","AR",""
"ALBERT","FL",""
"ALBERT","GA",""
"ALBERT","PA","1900"
"ALBERTA","LA","1900"
"ALBERTA","MO","1900"
"ALBERTA","MO",""
NA,NA,""
"ALBERTA","SC",""
"ALBERTA STATION","AL",""
"ALBERTHA","AR","1900"
"ALBERTON","TN","1900"
"ALBERTON","AL",""
"ALBERT'S","PA",""
"ALBERTSON","MS",""
NA,NA,""
NA,NA,""
"ALBIA","AR",""
"ALBIN","MS","1900"
"ALBINA","MO",""
"ALBION","AR","1900"
"ALBION","FL","1900"
NA,NA,""
NA,NA,""
"ALBION","NY",""
NA,NA,""
NA,NA,""
"ALBION","SC","1850"
